text,sentiment
@XFactorID @2ndChance_id @kingnassar88 Jgn lupa buat vote 2nd chance tiap harii ???????,netral
"@XFactorID @alvinxjo @rhoma_official Keren lo vin,lagu dangdut classic menjadi lebih fresh dan kekinian, aransemennya gak cuma dibikin Rock, tapi ada sentuhan R&amp;B nya.",positif
@XFactorID @DnrWidianto Masih menunggu kemungkinan @DnrWidianto menyanyikan "Belum Ada Judul"(Iwan Fals).,netral
"@XFactorID @GanyGery @Roby_Gultom Knp video perjalanan GeryGany ga ditayangin? Maydea &amp; Enka ditayangin loh. Dan knp GG ga dapet waktu buat say thanks scr langsung? Keliatan loh mereka mau ngomong
Main closing aja",negatif
"ini maysha ada fals nya!!!!!!!! kenapa mesti lolos??!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
????
apa good looking gitu???!!!!!!!!!!!!!!!!!
????

kualitas terkalahkan dengan kuantitas!!!!!!!!!!!!!!!!!!!!!!!
@XFactorID",negatif
@XFactorID @edopratama___ @OfficialRCTI @Fremantle_ID Penjurian Bias. Ga kompeten jurinya,negatif
@mamisalon_real @XFactorID @OfficialRCTI @Fremantle_ID Edo standar banget,negatif
@XFactorID @2ndChance_id @kingnassar88 Penampilan terbaikkk malam ini!!! ASIK BGT WOY TADIIII WKWK kalian kudu juaraaa!!! @2ndChance_id,positif
@XFactorID @alvinxjo @rhoma_official Auranya makin keluar ???? salfok hari ini Alvin ganteng banget ????????,positif
@XFactorID @Marcelladee_ @Intan12ayu_ @OfficialRCTI @Fremantle_ID Jadi g semangat Marcella hrs pulang diawal,negatif
"@XFactorID @2ndChance_id @kingnassar88 Paling keren ???????? jogednya pada asyik bgt loh Hehehe @allanandersnn @CAEciliapray ...
Semoga sampai finallll",positif
@XFactorID @OfficialRCTI @Fremantle_ID Ga ngerti lg gue klo suara sehebat Iyan kaya gini ga dilolosin dan BCL malah lbh milih Edo yg biasa aja pake banget!!!,negatif
@XFactorID @edopratama___ @OfficialRCTI @Fremantle_ID Ga ngerti knp BCL bs milih dia..,negatif
@XFactorID @myshajhuan @NdarboyGenk seharusnya pulangg ajaa,negatif
2nd Chance ini makannya apaan ya? Bagus banget itu suara ya ampun pusing gw @XFactorID,positif
@XFactorID @GanyGery @Roby_Gultom seharusnya masya aja ga si yang pulang lagian penampilannya smkin nurun juga -_-,negatif
"@XFactorID @alvinxjo @rhoma_official Bersyukur masuk 5 besar ,bukan lagi menjanjikan Kemenangan tapi yakin akan menang Alvin di x factor...the winner ????",positif
"Sayang sekali perjalanan @GanyGery harus terhenti di TOP 6. Terima kasih atas perjuangan kalian di pangggung #XFactorIndonesia dan kita tunggu karya luar biasa dari KEMBAR MERDU ini????????

CONGRATS @Roby_Gultom kita ketemu lagi minggu depan????

#GalaLiveShow9
#XFactorIndonesia https://t.co/Oku0TWhItJ",netral
"Gery Ghani keluar, u guys joking rn? @XFactorID",negatif
"@GanyGery dan @Roby_Gultom harus masuk dalam BOTTOM 2 malam ini. Good luck and do your BEST????????????

#GalaLiveShow9
#XFactorIndonesia https://t.co/Lz5FwHsTKq",netral
Kenapaaa yang buttom two harus GaryGany sama Robby si anjirrr !!! Aku tidak terimaaa salah satu dari mereka kudu pulaaangggg tolonglah @XFactorID ????????????????,negatif
@XFactorID @alvinxjo @myshajhuan Asoy banget ngedancenya,positif
Ini apa2an Para Voter Indonesia...sekelas Roby bottom 2.....???? @OfficialRCTI @XFactorID @mynameisrossa @Judikajude bahaya.....,negatif
"Wahhh, gimana menurut X Fellas kalo @Roby_Gultom gabung jadi anggota @2ndChance_id nih?!???? Kolaborasi mereka keren dan PENUH PENGHAYATAN banget gak sih X Fellas??!???????? 

Lagu: Janji Putih by Doddy Latuharhary 

#GalaLiveShow9
#XFactorIndonesia https://t.co/SBFuGzvJCI",positif
@XFactorID @alvinxjo @rhoma_official Mamaakk tolong idola gue waktu jaman idola cilik 3 peliss :( wkwk,netral
"AWWW kolaborasi @alvinxjo X @myshajhuan penuh chemistry????????. Yang suka kolaborasi mereka, absen di sini????

Lagu: Jang Ganggu by Shine Of Black 

#GalaLiveShow9
#XFactorIndonesia https://t.co/nOcqq1inIm",netral
@XFactorID @alvinxjo @rhoma_official GUE TELAT ???? tulung pengen nonton full nya ?????????????,netral
@XFactorID @2ndChance_id @kingnassar88 Paling ambyar ini...geniussss,positif
@XFactorID @edopratama___ @OfficialRCTI @Fremantle_ID paling jelek sepanjang sejarah GALA x factor,negatif
@XFactorID @alvinxjo @rhoma_official @alvinxjo MENJANJIKAN KEMENANGAN???????? #AllveforAlvinjo,positif
"Woow...
Penampilan suara ROBI
"" Banyu Langit ""
Amaziiing...????????????
Lagu nya jawa bikin baperr..????????
Favorit bgttt...???????????????????

#XFactorIndonesia 
#RCTI 
@XFactorID https://t.co/B770eNNA6f",positif
@XFactorID @OfficialRCTI @Fremantle_ID Jelek knp lolos deh edo ini,negatif
@XFactorID @alvinxjo @rhoma_official jd beda dan kerennn bgtt sikkk ????????????????????,positif
Sepertinya lagu Seperti Mati Lampu 2nd Chance paling dangut di malam ini ???????????????????? @OfficialRCTI @XFactorID @mynameisrossa @Judikajude,positif
"@XFactorID @DnrWidianto Mas Danar keren, semoga selalu menampilkan yg terbaik. Semangattt!!!",positif
"@XFactorID @alvinxjo @rhoma_official Hadir min ?????????????????
Alvin, si cowok cool yang lagi ngedangdut ????

#AllveforAlvinJo #XFactorIndonesia",positif
"@XFactorID @OfficialRCTI @Fremantle_ID TV volume 10

Di SCTV suara keluar keras
Di RCTI  suara keluar samar2

Kenapa volume suara RCTI kecil gak sama dgn stasiun tv lainnya...?
Siapa penunggu lelet sound RCTI...?

X FACTOR INDONESIA
#XFI
#GalaLiveShow2
@OfficialRCTI 
@XFactorID https://t.co/wWRduafdJL",negatif
"X factor malam ini adalah malamnya bang Judika wkwk
Keren bnget kalau udah langsung dangdutan wkwk????????
Goks!! @XFactorID @Judikajude",positif
Mah lagu ini memang cocok buat genre apa saja dan Alvin pasti dapat voting banyak lagi @OfficialRCTI @XFactorID @mynameisrossa @Judikajude ????,netral
Pengen banget Danar @XFactorID nyanyiin lagunya Chrisye,netral
"topiknya ajang cari bakat bukannya ngomongin hubungan orang lain min @XFactorID. Tolong ya, DITEGUR!!",negatif
Sugeng dalu DANAR @XFactorID  kereenn poolll ???????????? #galaliveshow9 #xfactorindonesia,positif
"ADUUU ADUU ADUUUU, ini sih emang suara Bang @Judikajude yang BAGUS BANGET bukan karena bajunya???? iyaa gak X Fellas??????????????

#GalaLiveShow9
#XFactorIndonesia https://t.co/rXgxtn4PDZ",positif
Akunya yang budeg apa sound @OfficialRCTI yang trouble seh... Nonton @XFactorID kurang nikmat...,negatif
@XFactorID @myshajhuan @NdarboyGenk SUKAAAA BGTT,positif
@XFactorID @OfficialRCTI @Roby_Gultom juaranya donk,positif
"@XFactorID @Roby_Gultom @mynameisrossa @Roby_Gultom  the next juaranya x Factor,, suaramu menguncang dunia..",positif
@XFactorID @Roby_Gultom @mynameisrossa Gilak... Cerdas banget sih d bikin kayak gini lagunya.. Roby banget lagunya.. Ini mah "banyu langit" Versi internasional.. ????????????,positif
"""@Roby_Gultom bagus banget hari ini, ASHOOOY"" kalo kata Teh @mynameisrossa. X Fellas siapa yang setuju sama Teh Ocha nihh?!?????????

Lagu: Banyu Langit by Didi Kempot

#GalaLiveShow9
#XFactorIndonesia https://t.co/mcpjZ8itjj",positif
"@XFactorID @myshajhuan @NdarboyGenk modal cantik suara ga okey,,,",negatif
Nah Roby ini orang Batak asli apa ada keturunan Jawa ??? Kok logat dan lafaznya jawa tenan ???????????? @OfficialRCTI @XFactorID @mynameisrossa @Judikajude,netral
@XFactorID @myshajhuan @NdarboyGenk Kureng sih klo aku blg.. Sorry ???,negatif
"@XFactorID @whizofficial_id @agnezmo @OfficialRCTI @Fremantle_ID Kecewa sih sama keputusan juri, harysnya WHIZ LOLOS!",negatif
Ini Masya nyanyi dangdut apa khusus dia pop ya???? ???????????? @mynameisrossa @Judikajude @OfficialRCTI @XFactorID,netral
"Siapa yang udah siap untuk joget bareng TOP 6 #XFactorIndonesia?????????????? 

Yukk langsung nonton SEKARANG JUGA hanya di @OfficialRCTI ????

Jangan lupa VOTE yang banyak untuk finalis favorit kalian. GO VOTE NOW????

#GalaLiveShow9 https://t.co/t5KGFdSB2v",netral
"TOP 6 ???? @XFactorID 
.
Nahh malam ini sih TOP 6 #XFactorIndonesia akan membawakan lagu lagu Dangdut Nusantara lho ????
.
Jangan lewatkan keseruannya pukul 18.00 WIB LIVE DI RCTI https://t.co/JO9GpR5Dwo",netral
"X Fellas yang siap dangdutan bareng TOP 6 #XFactorIndonesia mana suaranyaa??!????????????

Stay tuned MALAM INI, pukul 18.05 WIB hanya di @officialrcti ???

#ItsTimeToFaceTheMusic 

@Fremantle_ID https://t.co/1EGkXEaE0F",netral
"X Fellas!! Kalau kalian tau judul lagu Dangdut Nusantara yang akan dinyanyikan oleh TOP 6 #XFactorIndonesia, reply tweet ini ya????

Siapa yang gak sabar untuk nonton penampilan mereka HARI INI, pukul 18.05 WIB hanya di @officialrcti??!????????????

#ItsTimeToFaceTheMusic

@Fremantle_ID https://t.co/XcKVFYnACH",netral
"TOP 6 @XFactorID  ????
.
Saksikan X Factor Indonesia besok pukul 18.00 WIB LIVE DI RCTI ????
.
Jangan lupa vote jagoan mu lewat aplikasi rcti+ ???? https://t.co/41qvVuEcaY",netral
"@XFactorID @OfficialRCTI @fremantLeid vin, aku udah siap goyang dangdut nih bareng kamuuu @alvinxjo",netral
@XFactorID @OfficialRCTI @fremantLeid nungguin si bule nyanyi dundut???? semangattt apinggg,positif
@XFactorID @OfficialRCTI @fremantLeid gw cemas ..kaya apa mereka bawa lagu dangdut nanti,negatif
@XFactorID @OfficialRCTI @fremantLeid Judi nggak sih vin?wkwk @alvinxjo,netral
@XFactorID @OfficialRCTI @fremantLeid Dangdut makanannya Judika nih. Nanti lagu2 pada di-koplo-in lagi ????????,netral
@XFactorID @OfficialRCTI @fremantLeid Akankah @alvinxjo berjudi?,netral
@0xJeniper_dao @XFactorID @enka_namaku @myshajhuan hdeh,negatif
@Ordinarose @XFactorID @OfficialRCTI @fremantLeid @alvinxjo Kopi dangdut gak sie?,netral
@silperquen @XFactorID @enka_namaku @myshajhuan berarti yang udh tereliminasi bad looking gitu?,negatif
@XFactorID @OfficialRCTI @fremantLeid Jam segitu waktunya maghrib. You tube aja lebih selow :),netral
"Hello X Fellas! Udah siap untuk nonton penampilan TOP 6 yang membawakan lagu-lagu Dangdut Nusantara?!?

Saksikan GALA LIVE SHOW 9 hari Senin, 28 Maret 2022 pukul 18.05 WIB hanya di @officialrcti ????

Yang gak sabar untuk joget, absen di sinii!!???

#XFactorIndonesia  

@fremantleid https://t.co/xjifh7iMjx",netral
@XFactorID @RCTIPlus Ganteng banget yg pake merah putih,positif
"Seru-seruan bareng di live streaming bersama top 6 @XFactorID di aplikasi SnackVideo, besok jam 18.30 WIB!

Klik: https://t.co/ppllkBrNs5

#snackvideo #snackvideo2022 #livestreaming #xfactorindonesia https://t.co/ljXxKRKQft",netral
@bangjodak @XFactorID @enka_namaku terus maksudnya yang pada keluar itu bad looking? WKWKWK :),negatif
@riffckep @XFactorID @enka_namaku @myshajhuan masih ada roby dan second chance :),netral
@riffckep @XFactorID @enka_namaku @myshajhuan Ya udah ga ada yg bisa ditonton berarti bang kedepannya,negatif
@XFactorID @RCTIPlus Tipikal xfactor sih minggu depan yg pulang kalo gak gerrygani ya salah satu dari boys.,netral
"Haai haaii X Fellas! Ada pesan dari TOP 6 dan para mentor nih????

Jangan lupa VOTE sebanyak-banyaknya untuk jagoan kalian di #XFactorIndonesia hanya melalui aplikasi @RCTIPlus ????????

Yang gak pernah absen untuk VOTE, mana suaranyaaa?!????????

#ItsTimeToFaceTheMusic https://t.co/5fWNxluWcb",netral
"Yang belum bisa move on dari GALA LIVE SHOW 8 siapa aja nihh?!?????????????

Tonton lagi performance keren TOP 7 di YouTube channel X Factor Indonesia! Performance siapa yang paling berkesan buat X Fellas??????

#XFactorIndonesia
#ItsTimeToFaceTheMusic 

@OfficialRCTI @Fremantle_ID https://t.co/UaLspTP1NO",netral
"Hellooo X Fellas!! Siapa nih yang gak pernah absen untuk VOTE??????????????

Jangan lupa VOTE sebanyak-banyaknya untuk jagoan kalian di #XFactorIndonesia. GO VOTE NOW ON @RCTIPlus ???

#ItsTimeToFaceTheMusic

@officialrcti @Fremantle_ID https://t.co/OJLfD8Ww9r",netral
"@XFactorID @alvinxjo Tau lagunya cuma bagian intro atau depan lagunya aja, kaya nya pernah denger di iklan tv atau dimana deh, jadi enjoy aja sih aku nontonin performnya Alvin mweheh????????",positif
Ayoo Vote Maysha @myshajhuan di APP @RCTIPlus pilih @XFactorID ya @mynameisrossa yg byk oke ?????? #XfactorIndonesia #ItsTimeToFaceTheMusic #XFI #Xfactor #Maysha #Rossa https://t.co/18BYmcZEgN,netral
@XFactorID @bclsinclair @OfficialRCTI @Fremantle_ID Happy birthday kak ungee @bclsinclair terima kasih banyak sudah menjadi mentor yg terbaik untuk boys. Salam cinta dari keluarga TeamAllve????????,netral
"@syubbanlove @XFactorID @alvinxjo Mikir sejenak....
Bukan ngereceh..

Kagak ngarti tapi bisa ngena ke hati...???
Ke telinga iya...
Kalo bisa ngena ke hati itu adalah bisa dipahami apa yang disampaikan orang lain, jadi bisa conect dari hati ke pikiran dimulai dari pendengaran..

Setau gua sih gitu.
????????????",negatif
@XFactorID @enka_namaku @myshajhuan KEPUTUSAN TAIK..!!,negatif
